id,asin,title,imgUrl,productURL,stars,reviews,price,isBestSeller,boughtInLastMonth,categoryName,categoryId
0,B0CFY8C6ZQ,"AOQUNFS Girls' Dance Shoes Rhinestones Fashion Princess Shoes Children's Latin Salsa Tango Bachata Performance Shoes Glitter,KM-TX",https://m.media-amazon.com/images/I/61h8J3c+G1L._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0CFY8C6ZQ,0.0,0,29.99,False,0,Ballet & Dancing Footwear,20
240,B002PCSJ86,Starlite,https://m.media-amazon.com/images/I/51lQs3Nc-XL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B002PCSJ86,4.3,115,11.25,False,0,Ballet & Dancing Footwear,20
0,B078GFDV96,Andux Zone Women Dance Shoes for Latin LDWX-01 (Gold 7 UK/Lable Size 42),https://m.media-amazon.com/images/I/71oXdyBj1QL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B078GFDV96,3.0,1,26.99,False,0,Ballet & Dancing Footwear,20
0,B0CJTFMR67,Blue Shoes Women's Patchwork Soft Sole Latin Dance Indoor Single Shoes Non-Slip Shoes Women Black With,https://m.media-amazon.com/images/I/51Qv2Udd3iL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0CJTFMR67,0.0,0,16.98,False,0,Ballet & Dancing Footwear,20
242,B017M5WOFE,Bloch Women's Pulse Dance Shoe,https://m.media-amazon.com/images/I/71-+3QnHOmL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B017M5WOFE,4.1,79,46.63,False,0,Ballet & Dancing Footwear,20
246,B0B1PN564C,Women Fashion Dancing Prom Ballroom Latin Salsa Dance Shoes Sandals JUK0519,https://m.media-amazon.com/images/I/61tZ4YJX9TL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0B1PN564C,0.0,0,16.89,False,0,Ballet & Dancing Footwear,20
248,B0CFG2RJ8T,"Children's trainers, children's shoes, dance shoes, warm dance, ballet, performance, indoor shoes, yoga, dance shoes, running shoes, 36",https://m.media-amazon.com/images/I/51kxwZtCaYL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0CFG2RJ8T,0.0,0,1.04,False,0,Ballet & Dancing Footwear,20
250,B002CLT15U,Bloch Women's Prolite Ii Hybrid Ballet Shoes,https://m.media-amazon.com/images/I/71-kEo1+9oL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B002CLT15U,4.3,64,28.71,False,0,Ballet & Dancing Footwear,20
252,B0CH194KS7,Girls' Shoes Small Leather Shoes Single Shoes Dance Shoes Girls Performance Shoes Girls Sports Shoes 31,https://m.media-amazon.com/images/I/51wZo0oxfJL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0CH194KS7,0.0,0,15.27,False,0,Ballet & Dancing Footwear,20
254,B0026ONDUM,Bloch Women's Neo-flex Slip on Jazz & Modern Dance Shoes,https://m.media-amazon.com/images/I/61ndz4DZGwL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0026ONDUM,4.3,70,34.7,False,0,Ballet & Dancing Footwear,20
256,B085QBMF6Y,MOTOCO Women Latin Dance Shoes Girls Adult Ballroom Rumba Prom Tango Performance Standard Low Heel Sandals Latin Salsa Waltz Dance Shoes,https://m.media-amazon.com/images/I/61M6pGYGkZL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B085QBMF6Y,3.1,9,10.99,False,0,Ballet & Dancing Footwear,20
258,B0CJ7397X4,Men's Ballroom Dance Shoes Leather Salsa Tango Waltz Smooth Swing Dance Shoe 1 Inch Heel Practice Teaching Shoes,https://m.media-amazon.com/images/I/51dAHw2U5tL._AC_UL320_.jpg,https://www.amazon.co.uk/dp/B0CJ7397X4,0.0,0,33.18,False,0,Ballet & Dancing Footwear,20
