id,categoryName
20,Ballet & Dancing Footwear
21,Basketball Footwear
22,Beauty
23,Boating Footwear
24,Boxing Shoes
25,Climbing Footwear
26,Cricket Shoes
27,Cycling Shoes
28,Equestrian Sports Boots
29,Golf Shoes
30,Hair Care
31,"Handmade Clothing, Shoes & Accessories"
32,Handmade Jewellery
33,Hockey Shoes
34,Make-up
35,Men
36,Motorbike Clothing
37,Ski Clothing
38,Tennis Shoes
39,Women
40,Women's Sports & Outdoor Shoes
